"Program","Year","Period","State","State ANSI","Fruit","Price or Weight?","Pesticide or Market","Measurement Unit","Aggregate type","Domain","Domain Category","Value","CV (%)"
"SURVEY",2022,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","108",NA
"SURVEY",2022,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"MARKETING YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","169",NA
"SURVEY",2022,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"MARKETING YEAR","FLORIDA","12","STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES","PRICE RECEIVED"," MEASURED IN $ / CWT",NA,NA,"TOTAL","NOT SPECIFIED","0",NA
"SURVEY",2022,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," FRESH MARKET - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","135",NA
"SURVEY",2022,"MARKETING YEAR","OTHER STATES",NA,"STRAWBERRIES",NA," PROCESSING - PRICE RECEIVED"," MEASURED IN $ / CWT",NA,"TOTAL","NOT SPECIFIED","27.1",NA
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN $",NA,NA,"TOTAL","NOT SPECIFIED","2,684,770,000",NA
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES","PRODUCTION"," MEASURED IN CWT",NA,NA,"TOTAL","NOT SPECIFIED","24,800,000",NA
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," NOT SOLD - PRODUCTION"," MEASURED IN CWT",NA,"TOTAL","NOT SPECIFIED","20,000",NA
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING - PRODUCTION"," MEASURED IN $",NA,"TOTAL","NOT SPECIFIED","(D)",NA
"SURVEY",2022,"YEAR","CALIFORNIA","06","STRAWBERRIES",NA," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT","TOTAL","NOT SPECIFIED","(D)",NA
